text,likes,published_at,clean_text
Masih setia sama a52s 5g,0,2026-04-15T03:53:24Z,setia sama a52s 5g
Android terbaik samsung,0,2026-04-15T03:38:54Z,android terbaik samsung
"Masi pake samsung a51😂😂😂,ketinggalan gg sih? Alhamdulillah udh jatuh dijalan raya 2 kali masih aman. Cuma kabel casan aja bru ganti.",0,2026-04-15T03:37:12Z,masi pake samsung a51ketinggalan gg sih alhamdulillah udh jatuh dijalan raya 2 kali aman cuma kabel casan aja bru ganti
User a 71 masih stay 2026 😊,0,2026-04-15T03:24:50Z,user a 71 stay 2026
Saya masih setia dgn Samsung A50.... Masih kenceng sih walau sdh 9 tahun😂,0,2026-04-15T01:03:37Z,setia dgn samsung a50 kenceng sih sdh 9 tahun
Blunder Samsung,0,2026-04-14T20:11:17Z,blunder samsung
saya masih Setia sama A 52 😂😂😂,0,2026-04-14T19:56:18Z,setia sama a 52
hp oppo bang,0,2026-04-14T19:41:02Z,hp oppo bang
Andai samsung ngasih performa seperti xiaomi pasti gmpng buat minang nya,0,2026-04-14T18:46:59Z,andai samsung ngasih performa xiaomi gmpng buat minang nya
7 juta 256 di tahun 2026 kocak nih 🤏,0,2026-04-14T16:38:37Z,7 juta 256 tahun 2026 kocak nih
Favorit samsung seri A....,0,2026-04-14T16:03:17Z,favorit samsung seri a
Masih dengan A53...,0,2026-04-14T15:31:12Z,a53
"tambah dikit dapet poco x8 pro max, sekarang lebih mentingin fungsi, daripada gengsi",0,2026-04-14T15:09:34Z,tambah dikit dapet poco x8 pro max sekarang lebih mentingin fungsi gengsi
Masih setia di a35 😢,0,2026-04-14T15:02:04Z,setia a35
"Beli a56 di harga 4,9 aja udh ngos²an ah 😂",0,2026-04-14T14:55:12Z,beli a56 harga 49 aja udh ngosan ah
Masih bertahan dengan s9+,0,2026-04-14T14:23:53Z,bertahan s9
"upgradeny maen aman brati ya,",1,2026-04-14T14:19:35Z,upgradeny maen aman brati
Di CP to,0,2026-04-14T14:17:10Z,cp to
"aku masih setia dengan A50 sejak 2019
😅",0,2026-04-14T13:50:04Z,aku setia a50 sejak 2019
Mending HP Poko sih,0,2026-04-14T13:14:38Z,mending hp poko sih
"Alhamdulillah dari dulu pake realme ga ganti"",,yg membuat mahal itu gengsi ada yg pake iPhone lah pdhal menurut gue mah sama aja kaya hp biasa cuma yg membedakan GENGSI yg ingin terlihat WAAAAHH di temen dll",0,2026-04-14T12:39:49Z,alhamdulillah dulu pake realme ga gantiyg membuat mahal gengsi yg pake iphone lah pdhal gue mah sama aja kaya hp biasa cuma yg membedakan gengsi yg terlihat waaaahh temen
"David bilang batere 5500mah biasa2 aja. Tapi ternyata setelah saya pakai merasa OK banget. Buat saya yang ganti hp 5tahun an, sebelumnya A52, kerasa banget sih bedanya. Kayanya buat kaum yang pakai hape untuk kebutuhan kerja OK banget sih. Coba buat mid range juga dikasih stylus biar lebih enak buat pekerja kya saya macam jaman note 5. Foto terus coret2 sketch difoto, kirim ke bawahan. Kalo stylus kasih di flagship buat pekerja kaya saya berasa kelebihan.",0,2026-04-14T12:32:58Z,david bilang batere 5500mah biasa2 aja ternyata pakai merasa banget buat ganti hp 5tahun an sebelumnya a52 kerasa banget sih bedanya kayanya buat kaum pakai hape kebutuhan kerja banget sih coba buat mid range dikasih stylus biar lebih enak buat pekerja kya macam jaman note 5 foto terus coret2 sketch difoto kirim bawahan kalo stylus kasih flagship buat pekerja kaya berasa kelebihan
"Sya pakai A55, update hp nnti ketika sudah A60, atau ketika sdah bisa di gunakan....",0,2026-04-14T11:38:19Z,sya pakai a55 update hp nnti a60 sdah gunakan
hujat lah aku dah beli A57 😂😂😂 ok lah dari pada pakai brand china..atau pakai ip bekas😂😂 inter pula,0,2026-04-14T11:02:43Z,hujat lah aku dah beli a57 lah pakai brand chinaatau pakai ip bekas inter
"Kangen hp ku Samsung yang s25 ilang dicolong sama motor nya😢
Sekarang lagi pake moto g86, semoga bisa kebeli flagship Samsung lagi",0,2026-04-14T10:13:14Z,kangen hp ku samsung s25 ilang dicolong sama motor nya sekarang pake moto g86 semoga kebeli flagship samsung
Saking dikit upgradenya kerasnya sekecil itu 😂,0,2026-04-14T09:41:57Z,saking dikit upgradenya kerasnya sekecil
"Just bought it for my mom yesterday, Ice Blue color. Keren sih ni hp",0,2026-04-14T08:59:36Z,just bought it for my mom yesterday ice blue color keren sih ni hp
"Gede banget kertas daftar upgradenya, terlalu banyak ya😅",0,2026-04-14T08:30:57Z,gede banget kertas daftar upgradenya terlalu banyak
Nonton ini pake A52s 😭,0,2026-04-14T07:48:01Z,nonton pake a52s
"Nonton review ini masih pake A50 ku yg ku beli dulu tahun 2019 keknya 😅, meski A50 ku cm jd hp cadangan buat nomor indo tp sampe skrg msh gacor lu. Skrg udah A57 aja, mau nungguin A59 deh nantinya",0,2026-04-14T07:47:19Z,nonton review pake a50 ku yg ku beli dulu tahun 2019 keknya meski a50 ku cm jd hp cadangan buat nomor indo tp sampe skrg msh gacor lu skrg udah a57 aja mau nungguin a59 deh nantinya
User A54 nonton ....,0,2026-04-14T07:44:57Z,user a54 nonton
ohh exynoss itu lagi...,0,2026-04-14T07:43:17Z,ohh exynoss
Nonton ini pake S25Fe 😂,1,2026-04-14T07:22:11Z,nonton pake s25fe
"Oke sy gak akan niat beli 😂😂 
Berhubung gak jauh beda dngn A56",0,2026-04-14T06:37:05Z,oke sy gak niat beli berhubung gak jauh beda dngn a56
Ampe ngantuk2 liat kontennya  david nerangin samsung yang spek nya nyantai🥱🥱,0,2026-04-14T06:22:03Z,ampe ngantuk2 liat kontennya david nerangin samsung spek nya nyantai
Bang rekomendasi proyektor mini dong di bawah 1jutaan,0,2026-04-14T04:46:03Z,bang rekomendasi proyektor mini dong bawah 1jutaan
bang saran laptop dong buat gw calon mahasiswa teknik budget 5-10jtan,0,2026-04-14T04:32:16Z,bang saran laptop dong buat gw calon mahasiswa teknik budget 510jtan
"Terimaksih bang setelah nonton ini gw mutusin mending beli s24 ultra aj,meskipun flagship 2 tahun lalu tapi ttep flagship",0,2026-04-14T03:59:42Z,terimaksih bang nonton gw mutusin mending beli s24 ultra ajmeskipun flagship 2 tahun lalu ttep flagship
Yg baru beli A 56 hadir,0,2026-04-14T03:48:18Z,yg baru beli a 56 hadir
Monggo kaum mendang mending..langsung saja ke s24-25fe saja😂,0,2026-04-14T03:37:55Z,monggo kaum mendang mendinglangsung s2425fe
2026 masih pake S20 fe snap😴,0,2026-04-14T03:34:56Z,2026 pake s20 fe snap
"Saya masih pake A51 yg beli th 2020, sampai sekarang alhamdulillah masih ok",0,2026-04-14T03:20:06Z,pake a51 yg beli th 2020 sekarang alhamdulillah
bang unboxing oppo find x9 ultra bang🙏🙏pilsss,1,2026-04-14T03:14:03Z,bang unboxing oppo find x9 ultra bangpilsss
Masih setia dgn A24,0,2026-04-14T02:56:03Z,setia dgn a24
"Bang review semua HP OPPO dong bang,kok jarang review HP OPPO..",0,2026-04-14T02:33:59Z,bang review semua hp oppo dong bangkok jarang review hp oppo
"Bang, tolong buatin list rekomendasi tab (bukan ipad) yang cocok untuk main game kayak pubg gitu dong, dari yang paling murah - paling mahal, terima kasih 🙏",0,2026-04-14T02:21:53Z,bang buatin list rekomendasi tab bukan ipad cocok main game kayak pubg gitu dong paling murah paling mahal terima kasih
Komen nonton youtube pake hp ketiga samsung a51 pemakaian hampir 6 tahun masih bagus kecuali baterai. Rencana mau upgrade samsung a5x series terbaru kalo udah matot buat jadi second hp bareng iphone.,0,2026-04-14T02:14:43Z,komen nonton youtube pake hp ketiga samsung a51 pemakaian hampir 6 tahun bagus baterai rencana mau upgrade samsung a5x series terbaru kalo udah matot buat jadi second hp bareng iphone
Setelah liat ini jadi makin sayang sama X7PRO yang kebeli tahun lalu😂,0,2026-04-14T01:58:41Z,liat jadi makin sayang sama x7pro kebeli tahun lalu
cung siapa yang masih pake A50 wkwkwk,0,2026-04-14T01:58:04Z,cung siapa pake a50 wkwkwk
"bg tolong rekomendasi hp samsung budged under 8 Jtan, klk yg A56 bagus gk ya ada yg punya rekomendasi kah",0,2026-04-14T01:47:51Z,bg rekomendasi hp samsung budged under 8 jtan klk yg a56 bagus gk yg punya rekomendasi
Malah gagal fokus harga kartu mainan bocil setara sama harga nmax 😂,0,2026-04-14T01:43:56Z,malah gagal fokus harga kartu mainan bocil setara sama harga nmax
Masih setia pakai poco m3 beli dari 2021 sampai sekarang nyaman2 aja,0,2026-04-14T01:41:50Z,setia pakai poco m3 beli 2021 sekarang nyaman2 aja
"Saya masih pakai C9pro dari tahun 2017 😂, mau ganti HP tapi kok mager, selain gaptek, males banget setting ini itu biar seperti HP sebelumnya.",1,2026-04-14T01:37:24Z,pakai c9pro tahun 2017 mau ganti hp kok mager gaptek males banget setting biar hp sebelumnya
punya A10s tetep dapet update sistem sampai sekarang,0,2026-04-14T01:20:20Z,punya a10s tetep dapet update sistem sekarang
"Ada yang belum dibahas, samsung a57 sekarang video malam hari lebih bagus fps nya ga ngeblur kayak a56 dan sekarang samsung A57 udah bisa pakai Galaxy AI yang dipake di seri S seperti object eraser yang lebih mulus . Itu improvement yang cukup signifikan.",0,2026-04-14T00:37:12Z,dibahas samsung a57 sekarang video malam hari lebih bagus fps nya ga ngeblur kayak a56 sekarang samsung a57 udah pakai galaxy ai dipake seri s object eraser lebih mulus improvement cukup signifikan
Harga yang....,0,2026-04-14T00:29:46Z,harga
Samsung hp gembel bentar lagy mau bangkrut akan muncul Nokia come back,0,2026-04-14T00:20:34Z,samsung hp gembel bentar lagy mau bangkrut muncul nokia come back
Bang coba infinix smart 20 mirip ip 17,0,2026-04-14T00:07:29Z,bang coba infinix smart 20 mirip ip 17
bang rekomendasi hp 3 jutaan bang,0,2026-04-13T23:52:48Z,bang rekomendasi hp 3 jutaan bang
"Halo Bang, coba infnix note 50 pro+ 5G yg katanya bener-bener baru aja keluar 1 April kemarin kalo ga salah",0,2026-04-13T23:42:50Z,halo bang coba infnix note 50 pro 5g yg katanya benerbener baru aja keluar 1 april kemarin kalo ga salah
review oppo find x9 ultra bang,0,2026-04-13T23:29:14Z,review oppo find x9 ultra bang
Bg review Vivo x300pro,0,2026-04-13T23:20:31Z,bg review vivo x300pro
Intinya A57 kurenk Worhtit klo di liat spek n harga segitu dah itu aja.,0,2026-04-13T23:19:39Z,intinya a57 kurenk worhtit klo liat spek n harga segitu dah aja
"Samsung a series sih ga akan seperti dulu lg worth nya semenjak mereka keluarkan series a1 dan a2.. otomatis a3 dan a5 harganya bakal jauh diatas ""pantas"", kemahalan yg ada..",0,2026-04-13T23:15:21Z,samsung a series sih ga dulu lg worth nya semenjak keluarkan series a1 a2 otomatis a3 a5 harganya bakal jauh diatas pantas kemahalan yg
"Lama nggak nonton, tambah rame terus dan tambah kerenn 😂 hebat banget bang dafit",0,2026-04-13T23:05:29Z,lama nonton tambah rame terus tambah kerenn hebat banget bang dafit
"Masih setia sama A55, yg pas beli masih 5 jt an, sekarang udah 6.8 jt an 😂",0,2026-04-13T22:20:14Z,setia sama a55 yg pas beli 5 jt an sekarang udah 68 jt an
Lagi nonton pakek Samsung A56 😌,0,2026-04-13T22:18:49Z,nonton pakek samsung a56
"Intinya kalau saya mau beli HP SAMSUNG yg baru saya selalu nonton konten si abang dulu biar jelas, dan saya tidak salah ambil keputusan, thank you brother selalu kasih review terbagus😊 🙏",0,2026-04-13T22:14:15Z,intinya kalau mau beli hp samsung yg baru selalu nonton konten si abang dulu biar jelas salah ambil keputusan thank you brother selalu kasih review terbagus
Gw nonton make samsung a58 5g,0,2026-04-13T22:13:04Z,gw nonton make samsung a58 5g
"Masih pakai A55
Masih nyaman",0,2026-04-13T21:34:16Z,pakai a55 nyaman
"Bang, tolong review a57 vs vivi v70 please..",0,2026-04-13T21:27:15Z,bang review a57 vs vivi v70 please
saamsul kompor peforma lemah,0,2026-04-13T18:28:56Z,saamsul kompor peforma lemah
Bjir baru beli tdi siang A57 dapet di harga 8jt🗿,0,2026-04-13T18:23:19Z,bjir baru beli tdi siang a57 dapet harga 8jt
Infinix gt50 pro bang,0,2026-04-13T18:15:37Z,infinix gt50 pro bang
"bang tolong buat video perbandingan hp nubia V80 max sama Tecno spark 40 pro+ bang
soalnya bingung mau beli yang mana🙏🏻🙏🏻🙏🏻",0,2026-04-13T17:41:33Z,bang buat video perbandingan hp nubia v80 max sama tecno spark 40 pro bang soalnya bingung mau beli mana
Tecno camon 50 pro bang!!!,0,2026-04-13T17:22:36Z,tecno camon 50 pro bang
"Bang David, review Infinix GT 50 Pro!! 
sekalian kasih list tier untuk Coolers Wireless charging terbaik, kalau bisa yg bisa unlock mode Draco Infinix GT.",0,2026-04-13T17:12:51Z,bang david review infinix gt 50 pro sekalian kasih list tier coolers wireless charging terbaik kalau yg unlock mode draco infinix gt
Aduuhhh sy tonton vidio ini yg msih menggunakan samsung A50😢,0,2026-04-13T16:08:37Z,aduuhhh sy tonton vidio yg msih menggunakan samsung a50
"Langsung aja bang Tecno common 50pro dong , mau angkut 40pro udh naik banget harganya 😢",0,2026-04-13T15:53:51Z,langsung aja bang tecno common 50pro dong mau angkut 40pro udh naik banget harganya
Bg review titan 2 elite dong😂,0,2026-04-13T15:35:26Z,bg review titan 2 elite dong
SEKELAS A57 CUMA 5000Mah. HARUS NYA MAH UDAH 6000Mah.  Baru sesuai harga.,0,2026-04-13T15:21:34Z,sekelas a57 cuma 5000mah nya mah udah 6000mah baru sesuai harga
COBA BANDINGIN DONG MAS DENGAN MERK LAIN.  BIAR GAK MONOLOG REV.....,0,2026-04-13T15:20:10Z,coba bandingin dong mas merk biar gak monolog rev
ngmpulin org2 yg msh pake A54 🤙🏻,0,2026-04-13T15:14:23Z,ngmpulin org2 yg msh pake a54
Samsung spek biasa mem 256 harga selangit,0,2026-04-13T15:06:35Z,samsung spek biasa mem 256 harga selangit
