author,text,likes,published_at
@ryuhayabusa7219,"Kenapa mahal bet untuk spek se kentang itu anjay🗿
Itu iqoo dan poco atau hp² lain yg lu rekomen in di kelas midrange bukan mending lagi jatuh nya,, HARUS😂 standar baru nya udh spek² kek mereka kelas mid,, krn software aja standar nya udh beda... 
Misal nya genshin. Dlu game plg berat bukan? Skrg ada yg jauh lebih berat yaitu WWM,, grafik nya semi Triple A, gameplay kompleks, NPC, dunia dll real time berasa hidup bgt, bisa komunikasi sm NPC kek kita chattan ama org. Ada juga HOK world (april ini 2026) itu map nya udh kek Benua saking luas nya,, gameplay kompleks, grafis detail

Pokonya udh beda bgt,, udh kek ""Next Gen"" Itu software jmn skrg. Dan gw rasa juga udh ga relevan klo lu ngetes performa hp² skrg pke software yg lawas macam ML, genshin dll udh beda standar nya...",0,2026-04-16T10:12:48Z
@hantzhannata2089,"masak kalah sama infinix note 60,pro ada wires charges, chipset snap dragon.",0,2026-04-16T08:34:51Z
@citralengkong8417,.,0,2026-04-16T08:14:22Z
@keprustv8295,komen ini pakai samsung a57,0,2026-04-16T06:58:03Z
@SoraSpace-v2x,"ini karna salesnya samsung itu mirip sales oppo/vivo tahun 2017 hahahaha yg suka ngelebihin apa apa, padahal upgradenya itu itu aja",0,2026-04-16T06:48:28Z
@algaming654,di tunggu A77 5G bang David 😊,0,2026-04-16T05:55:54Z
@mohammadardi559,"Di A56 kelemahannya masih sama, di sinyal tidak stabil",0,2026-04-16T04:35:22Z
@masopik1,"Boleh juga nih A58, enak di pegang, bezel lumayan tipis, mantab",0,2026-04-16T04:17:43Z
@Kasanova17,Mls klau bukan naga,0,2026-04-16T03:53:19Z
@anggasuprianto877,"Sayangnya seri a di bagian port chargingnya pas di cas kadang masuk kadang kagak pemakaian 2,5 tahun baru terasa penyakitnya samsung seri a, pengalaman pake a71 smpe a55 sekarang penyakitnya sama PORT CHARGINGNYA PAS DI CAS KADANG MASUK KADANG KAGAK 😅",0,2026-04-16T03:44:40Z
@auliafirman8064,"Nonton pake a52s, awet si cma kek setrikaan",0,2026-04-15T23:17:37Z
@Lupus_Fulguris,yang bikin mahal ya karena samsung,0,2026-04-15T21:57:57Z
@aisrilestari951,"Samsung samsung gw pertama kali nya kena genzutsu samsung pas S22 Ultra , demi tuhan gw nyesel Masa hp gw beli 13 jt an , Main ml se game aja Nge frame saking panas nya",0,2026-04-15T21:25:09Z
@benguktea2214,Samsung hp awet. Kalau ga kebanting 8 taun itu nyaman aja. Cuma ketinggalan speak aja😁😁😁,0,2026-04-15T19:17:39Z
@helmirudian3461,HP Midrange yang harganya gak Midrange lagi,0,2026-04-15T18:55:10Z
@luthfibadruttamam5558,"aku pakai a56 dri bulan september 2025, eh skrg udh ada a57, ga kerasa ya, ga bakalan ada abisnya, pakai aja dlu yg ada guys kalau emg butuh dan ada rezeki baru belii",0,2026-04-15T16:14:16Z
@Dkdpapararzy,"Kenapa Sekarang Susah Banget Nyari Samsung seri A72 4g,kebanyakan di outlet2 seri 5G,soalnya saya tidak bisa move on dari Hp itu,dulu kepaksa kejual buat ekonomi,sekarang masih nyaman dan seneng saja pakai samsung A52 4g dengan main camera belakang 60MP dan camera depan 32Mp..kita syukuri sja",0,2026-04-15T16:12:09Z
@papakwereeen7942,"Beneran santai sih upgrade nya buat hp mid range class kalau dibandingin dengan kompetitornya seperti vivo, infinix, realme yang layarnya udah makai curved, si Sam ini masih nyantai make layar flat untuk hpnya di class mid range dan masih pertahankan layar curved di seri S nya",0,2026-04-15T15:47:57Z
@ferdinandusacakaskoriacak4584,Infinix 60 ultra dong,0,2026-04-15T15:25:54Z
@jimmyang7244,"Akhirnya a56s di ulas juga..😬😬

gak layak disebut a57🤧🤧",0,2026-04-15T15:06:34Z
@yudhaperkaza7164,"samsung tuh variannya terlalu banyak dan perbedaan masing2 gk terlalu mencolok,kadang jadi bingung milihnya",0,2026-04-15T14:17:18Z
@imvt3187,Barusan beli varian 12/256 cuman 7.14 doang di Shopee :'),0,2026-04-15T14:06:22Z
@FahmiSaputra-s5q,"Overprice A57, spek beda tipis dgn A56. Lebih masuk akal ambil A56 walaupun hp tahun lalu.",0,2026-04-15T13:41:09Z
@Alfatih-k5h8c,Masih stay di j5 pro 😂,0,2026-04-15T13:10:10Z
@rehansaputra7525,Msh di A35. Blm ada niatan ganti selagi msh bagus😊,0,2026-04-15T13:06:56Z
@koelegaa.B1illy,Waduh baru juga ganti samsung a07 ini ada lagi,1,2026-04-15T13:02:37Z
@Anwarannas52,"samsung gua a35 bnyk kendala nya wifi gabisa suka mati idup sendiri,menggiurkan si samsung tapiii",0,2026-04-15T12:45:20Z
@vandoeny6419,Saya ada samsung A56 12/256 kondisi fresh segel plastik belum kebuka. Lebih baik upgrade TT ke a57 sekalian nggak ya?,0,2026-04-15T12:13:44Z
@afifamutia4207,bg buat vid mendingan a57 atau Tecno Camon 50 dong bg,0,2026-04-15T11:55:04Z
@agisagis-l9n,DARI SEMUA KONTEN YANG GW TONTON TAPI GW SELALU SALPOK SAMA KAOS YANG DI PAKE KELIATANYA HIGH QUALITY BANGET GUTU PAHAM GA SI JADI PENGEN SPILL DONG BANG JANGAN SPILL HP MULU😭,0,2026-04-15T11:45:58Z
@ronykurniawan7170,Baru 2 minggu beli A56. Eh ada lg yg 57😢,0,2026-04-15T11:31:24Z
@dikiari830,gua lagi nunggu A200,0,2026-04-15T11:09:05Z
@aldodarma1856,Kamera bagusan A52 4g,0,2026-04-15T10:50:04Z
@adhityarsaputra1618,samsung A57 vs Poco X8 Pro kira kira bagusan mana gan ?,0,2026-04-15T10:28:09Z
@BudiSatria-k5p,"Sorry oot, bang boleh review laptop ga",0,2026-04-15T10:22:31Z
@TheSailorBeginner,"Baru kali ini dengerin bang david ngomong jawa ""PIRO"" ? Wkwk",0,2026-04-15T09:07:30Z
@fouroneofficial,mending ambil s apa seri tingginya A series ya🤔,0,2026-04-15T09:03:53Z
@andipurnamanugraha,Mending S25 FE dong ya bang?,0,2026-04-15T07:43:01Z
@AbdulRahman-r1r8l,Bg .Poco x8 pro 5g vs Tecno comon 50 pro 5g  dong,0,2026-04-15T07:21:39Z
@EBHYP,A55 A56 belum bisa kebeli eh malah keluar lagi A57,0,2026-04-15T06:33:41Z
@nopalempal,"Liat samsung A56 dan A57 tu jd keinget jaman nokia 3310, 3315 dan 3330 pada masanya. Beda tipisss spesifikasinya. Apakaaah A57 bisa dibilang produk gagalnya samsung?",0,2026-04-15T05:49:35Z
@adityayusuf6286,"Saya pake reno 14f ada dynamic island nya, Samsung ini ada gak?",0,2026-04-15T05:40:29Z
@dityatv6170,Nonton make a52s soon ganti ke s24 rencana nya,0,2026-04-15T05:06:58Z
@alfianapriliadi2175,Masih stanbay di samsung A54😅 dsyukurin aja😊,0,2026-04-15T04:48:19Z
@devina09xitb-57,byeee mending ambil s24 second🧍‍♀️,0,2026-04-15T04:27:11Z
@viz-num14,masih setia make samsung s9+ walau layar retak dikit g ngaruh 😂,0,2026-04-15T04:19:13Z
@richoocta528,"Samsung udah mentok inovasi, design monoton, performa busuk, kamera B aja.",0,2026-04-15T04:00:10Z
@mohammadridwan3090,Masih setia sama a52s 5g,0,2026-04-15T03:53:24Z
@kurniawanrante1493,Android terbaik samsung,0,2026-04-15T03:38:54Z
@suhandimadema9434,"Masi pake samsung a51😂😂😂,ketinggalan gg sih? Alhamdulillah udh jatuh dijalan raya 2 kali masih aman. Cuma kabel casan aja bru ganti.",0,2026-04-15T03:37:12Z
@oppakendo9007,User a 71 masih stay 2026 😊,0,2026-04-15T03:24:50Z
@goodideaofficial8620,Saya masih setia dgn Samsung A50.... Masih kenceng sih walau sdh 9 tahun😂,0,2026-04-15T01:03:37Z
@ManusiaJahiel,Blunder Samsung,0,2026-04-14T20:11:17Z
@alindowahidin9460,saya masih Setia sama A 52 😂😂😂,0,2026-04-14T19:56:18Z
@agusprarama,hp oppo bang,0,2026-04-14T19:41:02Z
@ianreyyan7453,Andai samsung ngasih performa seperti xiaomi pasti gmpng buat minang nya,0,2026-04-14T18:46:59Z
@zahran7177,7 juta 256 di tahun 2026 kocak nih 🤏,0,2026-04-14T16:38:37Z
@DewiHyangkencana,Favorit samsung seri A....,0,2026-04-14T16:03:17Z
@DewiHyangkencana,Favorit samsung seri A....,0,2026-04-14T16:03:11Z
@fatimaharh,Masih dengan A53...,0,2026-04-14T15:31:12Z
@wahyuapriyanto2580,"tambah dikit dapet poco x8 pro max, sekarang lebih mentingin fungsi, daripada gengsi",0,2026-04-14T15:09:34Z
@Keindahan.62,Masih setia di a35 😢,0,2026-04-14T15:02:04Z
@yogipratama9298,"Beli a56 di harga 4,9 aja udh ngos²an ah 😂",0,2026-04-14T14:55:12Z
@muhsinalfaseh4800,Masih bertahan dengan s9+,0,2026-04-14T14:23:53Z
@ramdhanzni,"upgradeny maen aman brati ya,",1,2026-04-14T14:19:35Z
@mynameismenty,Di CP to,0,2026-04-14T14:17:10Z
@CADVisionStudio,"aku masih setia dengan A50 sejak 2019
😅",0,2026-04-14T13:50:04Z
@ahd.rifai11,Mending HP Poko sih,0,2026-04-14T13:14:38Z
@alifhidayah9238,"Alhamdulillah dari dulu pake realme ga ganti"",,yg membuat mahal itu gengsi ada yg pake iPhone lah pdhal menurut gue mah sama aja kaya hp biasa cuma yg membedakan GENGSI yg ingin terlihat WAAAAHH di temen dll",0,2026-04-14T12:39:49Z
@herusetiadi6329,"David bilang batere 5500mah biasa2 aja. Tapi ternyata setelah saya pakai merasa OK banget. Buat saya yang ganti hp 5tahun an, sebelumnya A52, kerasa banget sih bedanya. Kayanya buat kaum yang pakai hape untuk kebutuhan kerja OK banget sih. Coba buat mid range juga dikasih stylus biar lebih enak buat pekerja kya saya macam jaman note 5. Foto terus coret2 sketch difoto, kirim ke bawahan. Kalo stylus kasih di flagship buat pekerja kaya saya berasa kelebihan.",0,2026-04-14T12:32:58Z
@mirzalmirzal7954,"Sya pakai A55, update hp nnti ketika sudah A60, atau ketika sdah bisa di gunakan....",0,2026-04-14T11:38:19Z
@NurulAmin-ie4xh,hujat lah aku dah beli A57 😂😂😂 ok lah dari pada pakai brand china..atau pakai ip bekas😂😂 inter pula,0,2026-04-14T11:02:43Z
@rie_07,"Kangen hp ku Samsung yang s25 ilang dicolong sama motor nya😢
Sekarang lagi pake moto g86, semoga bisa kebeli flagship Samsung lagi",0,2026-04-14T10:13:14Z
@ahmadtoniimaduddin9343,Saking dikit upgradenya kerasnya sekecil itu 😂,0,2026-04-14T09:41:57Z
@AutobotsXX,"Just bought it for my mom yesterday, Ice Blue color. Keren sih ni hp",0,2026-04-14T08:59:36Z
@tajulmulky7816,"Gede banget kertas daftar upgradenya, terlalu banyak ya😅",0,2026-04-14T08:30:57Z
@nanayyms,Nonton ini pake A52s 😭,0,2026-04-14T07:48:01Z
@gumilang5666,"Nonton review ini masih pake A50 ku yg ku beli dulu tahun 2019 keknya 😅, meski A50 ku cm jd hp cadangan buat nomor indo tp sampe skrg msh gacor lu. Skrg udah A57 aja, mau nungguin A59 deh nantinya",0,2026-04-14T07:47:19Z
@zakkialamin4156,User A54 nonton ....,0,2026-04-14T07:44:57Z
@fajarsyahputra575,ohh exynoss itu lagi...,0,2026-04-14T07:43:17Z
@IzzulJumawan-ry9gu,Nonton ini pake S25Fe 😂,1,2026-04-14T07:22:11Z
@martingunadi6213,"Oke sy gak akan niat beli 😂😂 
Berhubung gak jauh beda dngn A56",0,2026-04-14T06:37:05Z
@anggakurniawan2539,Ampe ngantuk2 liat kontennya  david nerangin samsung yang spek nya nyantai🥱🥱,0,2026-04-14T06:22:03Z
@fauzirahma950,Bang rekomendasi proyektor mini dong di bawah 1jutaan,0,2026-04-14T04:46:03Z
@jonathanfarel3964,bang saran laptop dong buat gw calon mahasiswa teknik budget 5-10jtan,0,2026-04-14T04:32:16Z
@amoebacupu,"Terimaksih bang setelah nonton ini gw mutusin mending beli s24 ultra aj,meskipun flagship 2 tahun lalu tapi ttep flagship",0,2026-04-14T03:59:42Z
@Melkyano_48,Yg baru beli A 56 hadir,0,2026-04-14T03:48:18Z
@bagusfebrian5368,Monggo kaum mendang mending..langsung saja ke s24-25fe saja😂,0,2026-04-14T03:37:55Z
@AlfianHD,2026 masih pake S20 fe snap😴,0,2026-04-14T03:34:56Z
@afrininengsih3283,"Saya masih pake A51 yg beli th 2020, sampai sekarang alhamdulillah masih ok",0,2026-04-14T03:20:06Z
@Alanmaulana-m2u3r,bang unboxing oppo find x9 ultra bang🙏🙏pilsss,1,2026-04-14T03:14:03Z
@SedapGileerrr,Masih setia dgn A24,0,2026-04-14T02:56:03Z
@ilyass-j8i,"Bang review semua HP OPPO dong bang,kok jarang review HP OPPO..",0,2026-04-14T02:33:59Z
@paksigiripranata836,"Bang, tolong buatin list rekomendasi tab (bukan ipad) yang cocok untuk main game kayak pubg gitu dong, dari yang paling murah - paling mahal, terima kasih 🙏",0,2026-04-14T02:21:53Z
@kitsune3717,Komen nonton youtube pake hp ketiga samsung a51 pemakaian hampir 6 tahun masih bagus kecuali baterai. Rencana mau upgrade samsung a5x series terbaru kalo udah matot buat jadi second hp bareng iphone.,0,2026-04-14T02:14:43Z
@akmalyusuf7047,Setelah liat ini jadi makin sayang sama X7PRO yang kebeli tahun lalu😂,0,2026-04-14T01:58:41Z
@nadiaariska7159,cung siapa yang masih pake A50 wkwkwk,0,2026-04-14T01:58:04Z
@JD-Lingga,"bg tolong rekomendasi hp samsung budged under 8 Jtan, klk yg A56 bagus gk ya ada yg punya rekomendasi kah",0,2026-04-14T01:47:51Z
@ddfkonde16,Malah gagal fokus harga kartu mainan bocil setara sama harga nmax 😂,0,2026-04-14T01:43:56Z
@ahapzhu,Masih setia pakai poco m3 beli dari 2021 sampai sekarang nyaman2 aja,0,2026-04-14T01:41:50Z
@jwara7365,"Saya masih pakai C9pro dari tahun 2017 😂, mau ganti HP tapi kok mager, selain gaptek, males banget setting ini itu biar seperti HP sebelumnya.",1,2026-04-14T01:37:24Z
@bpjsdontafk5552,punya A10s tetep dapet update sistem sampai sekarang,0,2026-04-14T01:20:20Z
@UjiHOK,"Ada yang belum dibahas, samsung a57 sekarang video malam hari lebih bagus fps nya ga ngeblur kayak a56 dan sekarang samsung A57 udah bisa pakai Galaxy AI yang dipake di seri S seperti object eraser yang lebih mulus . Itu improvement yang cukup signifikan.",0,2026-04-14T00:37:12Z
@ibnurizki1265,Harga yang....,0,2026-04-14T00:29:46Z
@MamatRahmadi-iq4bk,Samsung hp gembel bentar lagy mau bangkrut akan muncul Nokia come back,0,2026-04-14T00:20:34Z
@IpanMuhammad-q6m,Bang coba infinix smart 20 mirip ip 17,0,2026-04-14T00:07:29Z
@garr-y7q,bang rekomendasi hp 3 jutaan bang,0,2026-04-13T23:52:48Z
@Zclover.,"Halo Bang, coba infnix note 50 pro+ 5G yg katanya bener-bener baru aja keluar 1 April kemarin kalo ga salah",0,2026-04-13T23:42:50Z
@WislyTangka,review oppo find x9 ultra bang,0,2026-04-13T23:29:14Z
@FAEYZAPGLN813,Bg review Vivo x300pro,0,2026-04-13T23:20:31Z
@yhahaa.97,Intinya A57 kurenk Worhtit klo di liat spek n harga segitu dah itu aja.,0,2026-04-13T23:19:39Z
@RendiSaputra-wt2fz,"Samsung a series sih ga akan seperti dulu lg worth nya semenjak mereka keluarkan series a1 dan a2.. otomatis a3 dan a5 harganya bakal jauh diatas ""pantas"", kemahalan yg ada..",0,2026-04-13T23:15:21Z
@nasikhinsaga,"Lama nggak nonton, tambah rame terus dan tambah kerenn 😂 hebat banget bang dafit",0,2026-04-13T23:05:29Z
@stric6675,"Masih setia sama A55, yg pas beli masih 5 jt an, sekarang udah 6.8 jt an 😂",0,2026-04-13T22:20:14Z
@amrandihzapramudya158,Lagi nonton pakek Samsung A56 😌,0,2026-04-13T22:18:49Z
@ranimatondang9683,"Intinya kalau saya mau beli HP SAMSUNG yg baru saya selalu nonton konten si abang dulu biar jelas, dan saya tidak salah ambil keputusan, thank you brother selalu kasih review terbagus😊 🙏",0,2026-04-13T22:14:15Z
@AbeckTampan,Gw nonton make samsung a58 5g,0,2026-04-13T22:13:04Z
@tambunrey7174,"Masih pakai A55
Masih nyaman",0,2026-04-13T21:34:16Z
@yuliantijuly2472,"Bang, tolong review a57 vs vivi v70 please..",0,2026-04-13T21:27:15Z
@Wanto-g5n,saamsul kompor peforma lemah,0,2026-04-13T18:28:56Z
@NononIndrayanti,Bjir baru beli tdi siang A57 dapet di harga 8jt🗿,0,2026-04-13T18:23:19Z
@ndychanel27,Infinix gt50 pro bang,0,2026-04-13T18:15:37Z
@najwaashilasalsabil58,"bang tolong buat video perbandingan hp nubia V80 max sama Tecno spark 40 pro+ bang
soalnya bingung mau beli yang mana🙏🏻🙏🏻🙏🏻",0,2026-04-13T17:41:33Z
@RasyaBathara,Tecno camon 50 pro bang!!!,0,2026-04-13T17:22:36Z
@06.ariyofebriardiyansyah64,"Bang David, review Infinix GT 50 Pro!! 
sekalian kasih list tier untuk Coolers Wireless charging terbaik, kalau bisa yg bisa unlock mode Draco Infinix GT.",0,2026-04-13T17:12:51Z
@badaiprahara4403,Aduuhhh sy tonton vidio ini yg msih menggunakan samsung A50😢,0,2026-04-13T16:08:37Z
@goatrealmlbb,"Langsung aja bang Tecno common 50pro dong , mau angkut 40pro udh naik banget harganya 😢",0,2026-04-13T15:53:51Z
@Kupleee2,Bg review titan 2 elite dong😂,0,2026-04-13T15:35:26Z
@aganism.h3542,SEKELAS A57 CUMA 5000Mah. HARUS NYA MAH UDAH 6000Mah.  Baru sesuai harga.,0,2026-04-13T15:21:34Z
@aganism.h3542,COBA BANDINGIN DONG MAS DENGAN MERK LAIN.  BIAR GAK MONOLOG REV.....,0,2026-04-13T15:20:10Z
@yosiaandre2432,ngmpulin org2 yg msh pake A54 🤙🏻,0,2026-04-13T15:14:23Z
@taufikpro9507,Samsung spek biasa mem 256 harga selangit,0,2026-04-13T15:06:35Z
@qinksalman,harga 7 juta mending beli iphone bang nambah dikit.. kamera samsung B aja gk ada spesial2 nya di harga 7 jutaan,0,2026-04-13T15:01:53Z
@RafifTammam,Bang david review headset IEM dongg,0,2026-04-13T14:59:45Z
@Elia_can,Bang dapit coba infinixe note 60 ultra😊,0,2026-04-13T14:47:20Z
@azizixyvana5911,"Nonton video ini pake A52, dan sampe sekarang masih enak banget dipake.. bismillah mau upgrade ke A56",0,2026-04-13T14:33:32Z
@Matt-xx7dy,"Suka Galaxy A5... series, tapi pas beli lensa macro nya jarang dipake, bahkan ga kepake. Kalau bisa ilangin aja biar bisa potong budget",0,2026-04-13T14:23:46Z
@miionyxblue4976,"User samsung a10s dari tahun 2020 sampe skrg alhamdulillah masih aman 🙌  udh sering jatuh/kebanting juga, tapi gk sampe gimana2, masih nyala.. Paling error itu sistemnya, karena 4/32 dipake sm org yg hobi foto2 + video 🤣🤣, lemot parah",0,2026-04-13T14:20:21Z
@NVGSxAngotter,"Untung tidak jual Samsung Galaxy A55 5G 🤣, rugi beli Samsung Galaxy A57 5G. Harga jual tidak sebanding nilai yg di dapat.",0,2026-04-13T14:08:05Z
@juanai5294,Makin makin ya Samsung😅,0,2026-04-13T14:06:40Z
@NandaAdi-u2z,a52s masih idaman,0,2026-04-13T14:04:56Z
@labibarifin7844,Request Infinix note 60 ultra,0,2026-04-13T13:56:03Z
@radityajuliantosjsfs.1338,Masih setia pake A35❤,0,2026-04-13T13:50:23Z
@RelmyZan,"Dari Dulu emng ga tertarik sama hp ini, terlalu mahal namun ga sesuai😂",0,2026-04-13T13:45:20Z
@RendXsMild16,Masih setia dengan samsung A55☺️,0,2026-04-13T13:44:02Z
@arra369,Itu kalo hp bisa di masukin ke air tuh lobang charger nya nanti bermasalah ha sih,0,2026-04-13T13:43:10Z
@jemputanomroedy7337,Barusan lewat samsung mau beli tapi kata salesman nya nanti aja nunggu A60 katanya upgrade nya lumayan jauh...😂,0,2026-04-13T13:35:58Z
@saifurrizall269,guys budget 10jt mending ambil xiaomi 15t pro atau ambil second sm s23 ultra atau ada rekomen lain,0,2026-04-13T13:35:22Z
@Rapitz12,"Jadi males beli samsung lagi soalnya after sales nya jelek, saya punya samsung a73 5g kena green line gak bisa di servis,  dari sc nya mereka bilang udah gada stock trus skrg hape nya harus saya apaain kalo gak bisa di service like are you deadass bro",4,2026-04-13T13:33:41Z
@MaliqMaulana-j4p,Mending S25FE,0,2026-04-13T13:21:58Z
@SuryanaIyan-k4i,"jadi bang saya butuh saran, menurut Abang mending beli Samsung A56 atau A57, bingung saya soalnya apa mending beli S25/S24 FE",1,2026-04-13T13:01:08Z
@zaki-b5t7x,Tecno camon 50 pro bahas,0,2026-04-13T12:48:07Z
@hotmanvincent9355,"malesnya pindah ke samsung tuh perkara exynosnya yang ""bapuk"" banget sih kalau di compare hp yang sekelas. Mungkin ga semua orang gila game, tapi siapa yang gak mau main emel setidaknya bisa stabil di 120 fps? hp 3-4 jutaan aja udah pada bisa ngasih kestabilan peforma yang lebih baik",0,2026-04-13T12:36:17Z
@andydaily,Masih rame a55 kmarin 😁,0,2026-04-13T12:35:31Z
@ahmadshabur8374,Apa kabar infinix GT 50 pro ?,1,2026-04-13T12:33:19Z
@AhmadYaniRahmadi,Harga second A52s brp bang ?,0,2026-04-13T12:27:38Z
@faisalreza2405,minimal 512 GB lah,0,2026-04-13T12:25:07Z
@OscarDecoy,Mirip sony,0,2026-04-13T12:19:34Z
@Bangfunja,Rivew poco F8 pro bang,0,2026-04-13T12:01:10Z
@andreasgufran3278,"Kemarin 4.4 dpt harga 6,8jt yg 12/256gb. Jujur hp nya lebih tipis dan lebih ringan. Sama kamera jauh agak mending dibanding A56 terutama foto selfienya",0,2026-04-13T11:57:30Z
@van_ezz,Camon 50 pro kapan bang .. Nungguin nii😊😊,0,2026-04-13T11:45:17Z
@denmaseka,coba slot nya seperti a55 bisa pky slot sd,0,2026-04-13T11:42:17Z
@gameandroid3872,"1:36 seri A di Samsung ga banyak upgrade dikarenakan kalo harga seri fe turun, orang bakal jadiin 2 hp itu sebagai opsi, kalo upgradenya banyak orang ga akan ambil seri fe",0,2026-04-13T11:41:08Z
@DejanAbanda-r1i7q,7 bulan baru pakai a56 😁,0,2026-04-13T11:37:27Z
@akbarmuhamadishak,nonton elit ganti sulit,0,2026-04-13T11:28:52Z
@kyzenn1611,review laptop redmegic blaze 16 pro bang,0,2026-04-13T11:26:56Z
@fajaradilahpratama2457,masih pakai A55,0,2026-04-13T11:23:26Z
@osky3301,Skip banget sih buat versi yg ini,0,2026-04-13T11:12:48Z
@triladiya284,Beli a56 ketika a57 dah keluar gegara ngerasa lbh worth it a56 karena selisih harga nya jauh tp beda nya tipis hehhehe,0,2026-04-13T11:04:51Z
@juprimanalu3886,Samsung lemah di sinyal,0,2026-04-13T10:59:53Z
@Potongan_Daging,Masih pake A54 nii wkwkwk masih enak2 aja cuman pr batrenya udh boross😂,0,2026-04-13T10:57:57Z
@_aaa7726,Prosesor exynos... Langsung skip 😂,0,2026-04-13T10:45:51Z
@mochhassan1774,Infinix note 60 promax bang,0,2026-04-13T10:32:34Z
@torogenghis1609,Mentoknya di a54 kayaknya 😂,0,2026-04-13T10:21:58Z
@Ekoinsight,Bang bahas Infinix GT50 pro dong,0,2026-04-13T10:21:50Z
@Trixiienotgood.,bang review infinix note 60 ultra dong,0,2026-04-13T10:20:34Z
@zest1090,Nonton pake A50 (tanpa S) 😅,0,2026-04-13T10:07:52Z
@devikamarina8946,"aku beli A52 karena rekomendasi bang david,,udah 5 tahun dipake masih oke banget sampe sekarang,,,",0,2026-04-13T10:01:49Z
@sarahfaradilla5445,"samsung A52s ini mau ganti, tapi ga tau ganti apa yang di atas ini dan harga seharga A52S baru😭😭",0,2026-04-13T10:00:49Z
@MuhammadNabil-f4u,Bang coba riview Oppo Reno 15 5g dong please🙏🥺,0,2026-04-13T09:53:56Z
@GalihChandraKhirana,Bang Coba Fitur NFC yg katanya bisa Tarik Tunai Tanpa Kartu(3TK) di alfa/indo mart,0,2026-04-13T09:44:59Z
@Rafi.88,Samsung bagi kaum yg ingin hp tapi gk ribet plus update lama 😅,2,2026-04-13T09:32:16Z
@ultramenkosmos5757,Kenapa belum review tecno camon 50 pro?,0,2026-04-13T09:12:48Z
@Jack-p2d9b,Sejauh ini smartphone yang enak dipake emang samsung sama iphone,0,2026-04-13T09:08:34Z
@notperson0,9:59 Samsung: apa? Upgrade software 4k 30 ke 4k 60? Beli lagi lah kalau mau 4k 60 di a58 tau depan,0,2026-04-13T09:01:36Z
@Gurassan,3:34 bagi wallpaper nya bang 😅,0,2026-04-13T08:59:23Z
